ID,SYMBOL,PURCHASE_PRICE,DATE,QUANTITY_PURCHASED,CURRENT_WORTH,DOLLARS_SPENT
1,BTC,63314.01085,2021-04-15 0:00:00,0.000225633,34593.33835,14.28573021
1,BTC,59095.80798,2021-04-01 0:00:00,0.000241738,34593.33835,14.28570243
1,BTC,58803.77581,2021-05-08 0:00:00,0.000242939,34593.33835,14.28573049
1,BTC,58323.95358,2021-04-08 0:00:00,0.000244937,34593.33835,14.28569422
1,BTC,57828.05063,2021-05-01 0:00:00,0.000247038,34593.33835,14.28572597
1,BTC,55907.20023,2021-03-15 0:00:00,0.000255525,34593.33835,14.28568734
1,BTC,54529.14561,2021-03-22 0:00:00,0.000261983,34593.33835,14.28570915
1,BTC,54207.31907,2021-02-22 0:00:00,0.000263538,34593.33835,14.28568845
1,BTC,52246.52231,2021-03-08 0:00:00,0.000273429,34593.33835,14.28571435
1,BTC,51762.27205,2021-04-22 0:00:00,0.000275987,34593.33835,14.28571418
1,BTC,49631.24137,2021-03-01 0:00:00,0.000287837,34593.33835,14.28570762
1,BTC,47945.05683,2021-02-15 0:00:00,0.00029796,34593.33835,14.28570913
1,BTC,46760.18656,2021-05-15 0:00:00,0.00030551,34593.33835,14.2857046
1,BTC,46196.46372,2021-02-08 0:00:00,0.000309238,34593.33835,14.28570205
1,BTC,40797.61072,2021-01-08 0:00:00,0.000350161,34593.33835,14.28573217
1,BTC,40155.29874,2021-06-15 0:00:00,0.000355762,34593.33835,14.28572939
1,BTC,37536.63111,2021-05-22 0:00:00,0.000380581,34593.33835,14.2857286
1,BTC,36825.36585,2021-01-15 0:00:00,0.000387931,34593.33835,14.285701
1,BTC,36684.92452,2021-06-01 0:00:00,0.000389416,34593.33835,14.28569657
1,BTC,33572.11765,2021-07-01 0:00:00,0.000425523,34593.33835,14.28570822
1,BTC,33537.17682,2021-02-01 0:00:00,0.000425967,34593.33835,14.2857306
1,BTC,33472.63175,2021-06-08 0:00:00,0.000426788,34593.33835,14.28571756
1,BTC,33005.76356,2021-01-22 0:00:00,0.000432825,34593.33835,14.28571961
1,BTC,32505.65982,2021-06-22 0:00:00,0.000439484,34593.33835,14.2857174
1,BTC,29374.15189,2021-01-01 0:00:00,0.000486336,34593.33835,14.28570753
1,BTC,23783.0285,2020-12-22 0:00:00,0.000600668,34593.33835,14.28570416
1,BTC,19417.07603,2020-12-15 0:00:00,0.000735729,34593.33835,14.28570593
1,BTC,18802.9983,2020-12-01 0:00:00,0.000759757,34593.33835,14.28570958
1,BTC,18370.00252,2020-11-22 0:00:00,0.000777665,34593.33835,14.28570801
1,BTC,18321.14492,2020-12-08 0:00:00,0.000779739,34593.33835,14.28571122
1,BTC,17706.88867,2017-12-15 0:00:00,0.000806789,34593.33835,14.285723
1,BTC,16569.42578,2017-12-08 0:00:00,0.000862173,34593.33835,14.28571153
1,BTC,15955.58744,2020-11-15 0:00:00,0.000895342,34593.33835,14.28570757
1,BTC,15479.56704,2020-11-08 0:00:00,0.000922876,34593.33835,14.28572091
1,BTC,15170.08398,2018-01-08 0:00:00,0.000941703,34593.33835,14.28571359
1,BTC,13831.80957,2017-12-22 0:00:00,0.001032816,34593.33835,14.28571423
1,BTC,13819.8291,2018-01-15 0:00:00,0.001033711,34593.33835,14.28570936
1,BTC,13737.10983,2020-11-01 0:00:00,0.001039936,34593.33835,14.28571505
1,BTC,13657.23047,2018-01-01 0:00:00,0.001046018,34593.33835,14.2857089
1,BTC,12965.89129,2020-10-22 0:00:00,0.001101792,34593.33835,14.2857153
1,BTC,12285.95822,2019-07-08 0:00:00,0.001162768,34593.33835,14.28571907
1,BTC,11970.47874,2020-09-01 0:00:00,0.001193412,34593.33835,14.28571297
1,BTC,11966.40741,2019-08-08 0:00:00,0.001193818,34593.33835,14.28571256
1,BTC,11865.69857,2020-08-15 0:00:00,0.001203951,34593.33835,14.28571966
1,BTC,11759.59277,2020-08-01 0:00:00,0.001214814,34593.33835,14.28571793
1,BTC,11754.04581,2020-08-08 0:00:00,0.001215387,34593.33835,14.28571447
1,BTC,11681.82556,2020-08-22 0:00:00,0.001222901,34593.33835,14.28571616
1,BTC,11495.34965,2020-10-15 0:00:00,0.001242739,34593.33835,14.28571933
1,BTC,10975.57813,2017-12-01 0:00:00,0.001301591,34593.33835,14.28571371
1,BTC,10950.98633,2018-03-01 0:00:00,0.001304514,34593.33835,14.28571498
1,BTC,10931.43262,2018-01-22 0:00:00,0.001306847,34593.33835,14.28570993
1,BTC,10915.68573,2020-10-08 0:00:00,0.001308733,34593.33835,14.28571813
1,BTC,10895.08939,2019-07-15 0:00:00,0.001311207,34593.33835,14.28571747
1,BTC,10796.95099,2020-09-15 0:00:00,0.001323125,34593.33835,14.28571578
1,BTC,10701.69101,2019-06-22 0:00:00,0.001334903,34593.33835,14.28571943
1,BTC,10619.45191,2020-10-01 0:00:00,0.00134524,34593.33835,14.28571149
1,BTC,10583.13452,2019-07-01 0:00:00,0.001349857,34593.33835,14.28571821
1,BTC,10538.46032,2020-09-22 0:00:00,0.001355579,34593.33835,14.2857155
1,BTC,10441.27598,2019-09-08 0:00:00,0.001368196,34593.33835,14.28571203
1,BTC,10399.66942,2019-08-01 0:00:00,0.00137367,34593.33835,14.28571389
1,BTC,10347.71291,2019-09-15 0:00:00,0.001380567,34593.33835,14.28571097
1,BTC,10343.10617,2019-07-22 0:00:00,0.001381182,34593.33835,14.28571207
1,BTC,10311.54543,2019-08-15 0:00:00,0.00138541,34593.33835,14.28571815
